DateTime,State,Fuel Type,Supply
19/11/2022 00:00,QLD,Biomass,7491.2
19/11/2022 00:00,QLD,Black coal,757909.665
19/11/2022 00:00,QLD,Gas,86421.583
19/11/2022 00:00,QLD,Hydro,16198.769
19/11/2022 00:00,QLD,Liquid Fuel,0
19/11/2022 00:00,QLD,Solar,107387.042
19/11/2022 00:00,QLD,Wind,26519.867
19/11/2022 00:00,SA,Battery,1637.381
19/11/2022 00:00,SA,Gas,56812.599
19/11/2022 00:00,SA,Liquid Fuel,1238.885
19/11/2022 00:00,SA,Solar,14397.924
19/11/2022 00:00,SA,Wind,131363.58
19/11/2022 00:00,TAS,Gas,106.419
19/11/2022 00:00,TAS,Hydro,153105.754
19/11/2022 00:00,TAS,Wind,45776.849
19/11/2022 00:00,VIC,Battery,1323.428
19/11/2022 00:00,VIC,Brown coal,451452.055
19/11/2022 00:00,VIC,Gas,10630.352
19/11/2022 00:00,VIC,Hydro,54187.258
19/11/2022 00:00,VIC,Solar,34281.441
19/11/2022 00:00,VIC,Wind,226192.316
26/11/2022 00:00,NSW,Battery,351.235
26/11/2022 00:00,NSW,Black coal,681882.947
26/11/2022 00:00,NSW,Gas,2583.436
26/11/2022 00:00,NSW,Hydro,51571.359
26/11/2022 00:00,NSW,Liquid Fuel,0
26/11/2022 00:00,NSW,Solar,151295.481
26/11/2022 00:00,NSW,Wind,107702.173
26/11/2022 00:00,QLD,Battery,846.676
26/11/2022 00:00,QLD,Biomass,4419.425
26/11/2022 00:00,QLD,Black coal,799964.433
26/11/2022 00:00,QLD,Gas,65996.626
26/11/2022 00:00,QLD,Hydro,14509.191
26/11/2022 00:00,QLD,Liquid Fuel,0
26/11/2022 00:00,QLD,Solar,94117.568
26/11/2022 00:00,QLD,Wind,32483.339
26/11/2022 00:00,SA,Battery,1269.059
26/11/2022 00:00,SA,Gas,34903.099
26/11/2022 00:00,SA,Liquid Fuel,7.332
26/11/2022 00:00,SA,Solar,23297.983
26/11/2022 00:00,SA,Wind,101928.904
26/11/2022 00:00,TAS,Gas,62.864
26/11/2022 00:00,TAS,Hydro,162707.07
26/11/2022 00:00,TAS,Wind,32937.636
26/11/2022 00:00,VIC,Battery,1916.503
26/11/2022 00:00,VIC,Brown coal,511698.06
26/11/2022 00:00,VIC,Gas,10403.544
26/11/2022 00:00,VIC,Hydro,55903.49
26/11/2022 00:00,VIC,Solar,42209.467
26/11/2022 00:00,VIC,Wind,129872.336
03/12/2022 00:00,NSW,Battery,263.439
03/12/2022 00:00,NSW,Black coal,615245.165
03/12/2022 00:00,NSW,Gas,17553.896
03/12/2022 00:00,NSW,Hydro,71430.102
03/12/2022 00:00,NSW,Liquid Fuel,0
03/12/2022 00:00,NSW,Solar,148773.007
03/12/2022 00:00,NSW,Wind,95239.748
03/12/2022 00:00,QLD,Battery,745.546
03/12/2022 00:00,QLD,Biomass,5167.067
03/12/2022 00:00,QLD,Black coal,759392.566
03/12/2022 00:00,QLD,Gas,91571.336
03/12/2022 00:00,QLD,Hydro,12987.183
03/12/2022 00:00,QLD,Liquid Fuel,478.073
03/12/2022 00:00,QLD,Solar,143476.32
03/12/2022 00:00,QLD,Wind,27770.644
03/12/2022 00:00,SA,Battery,1185.454
03/12/2022 00:00,SA,Gas,36616.77
03/12/2022 00:00,SA,Liquid Fuel,54.721
03/12/2022 00:00,SA,Solar,18436.382
03/12/2022 00:00,SA,Wind,140306.54
03/12/2022 00:00,TAS,Gas,120.371
03/12/2022 00:00,TAS,Hydro,126114.972
03/12/2022 00:00,TAS,Wind,30498.336
03/12/2022 00:00,VIC,Battery,1714.378
03/12/2022 00:00,VIC,Brown coal,595601.691
03/12/2022 00:00,VIC,Gas,5703.881
03/12/2022 00:00,VIC,Hydro,30087.615
03/12/2022 00:00,VIC,Solar,39494.478
03/12/2022 00:00,VIC,Wind,191270.495
10/12/2022 00:00,NSW,Battery,321.414
10/12/2022 00:00,NSW,Black coal,595242.503
10/12/2022 00:00,NSW,Gas,1745.69
10/12/2022 00:00,NSW,Hydro,68521.844
10/12/2022 00:00,NSW,Liquid Fuel,10.267
10/12/2022 00:00,NSW,Solar,144219.441
10/12/2022 00:00,NSW,Wind,132954.159
10/12/2022 00:00,QLD,Battery,17.141
10/12/2022 00:00,QLD,Biomass,6116.542
10/12/2022 00:00,QLD,Black coal,751864.269
10/12/2022 00:00,QLD,Gas,86531.153
10/12/2022 00:00,QLD,Hydro,14023.709
10/12/2022 00:00,QLD,Liquid Fuel,0
10/12/2022 00:00,QLD,Solar,130111.554
10/12/2022 00:00,QLD,Wind,28079.507
10/12/2022 00:00,SA,Battery,1291.099
10/12/2022 00:00,SA,Gas,17422.924
10/12/2022 00:00,SA,Liquid Fuel,731.889
10/12/2022 00:00,SA,Solar,18392.435
